"POSTCODE","ADDRESS","CITY","STATE"
"79000","Nusajaya - Pembangunan Puteri Harbour","Nusajaya","JHR"
"79000","Nusajaya - Pusat Pentadbiran Kerajaan Negeri Johor","Nusajaya","JHR"
"79100","Nusajaya - Horizon Hills","Nusajaya","JHR"
"79100","Nusajaya - Taman Bukit Indah","Nusajaya","JHR"
"79100","Nusajaya - Taman Nusa Idaman","Nusajaya","JHR"
"79100","Nusajaya - Taman Nusa Indah","Nusajaya","JHR"
"79100","Taman Nusa Indah Tropicana","Nusajaya","JHR"
"79150","Nusajaya - Taman Nusa Bestari 2","Nusajaya","JHR"
"79150","Nusajaya - Taman Nusa Bestari Jaya","Nusajaya","JHR"
"79150","Nusajaya - Taman Nusa Bestari","Nusajaya","JHR"
"79150","Nusajaya - Taman Nusa Jaya Mas","Nusajaya","JHR"
"79200","Nusajaya - Nusa Cemerlang","Nusajaya","JHR"
"79200","Nusajaya - Perindustrian Nusa Jaya","Nusajaya","JHR"
"79200","Nusajaya - Perumahan Kerajaan","Nusajaya","JHR"
"79200","Nusajaya - Southern Industrial & Logistics Clusters","Nusajaya","JHR"
"79200","Nusajaya - Taman Industri Nusaya 1","Nusajaya","JHR"
"79200","Nusajaya - Taman Nusa Cemerlang Industrial Park","Nusajaya","JHR"
"79200","Nusajaya - Taman Nusa Perdana","Nusajaya","JHR"
"79200","Nusajaya - Taman Nusa Perintis 1","Nusajaya","JHR"
"79200","Nusajaya - Taman Nusa Perintis 2","Nusajaya","JHR"
"79200","Nusajaya - Taman Nusa Perintis 3","Nusajaya","JHR"
"79200","Nusajaya - Taman Nusa Perintis","Nusajaya","JHR"
"79200","Nusajaya - Taman Nusantara","Nusajaya","JHR"
"79250","Nusajaya - Centre Ledang Heights","Nusajaya","JHR"
"79250","Nusajaya - East Ledang","Nusajaya","JHR"
"79250","Nusajaya - Kompleks Kastam (CIQ)","Nusajaya","JHR"
"79250","Nusajaya - Ledang Heights 1","Nusajaya","JHR"
"79250","Nusajaya - Ledang Heights 2","Nusajaya","JHR"
"79250","Nusajaya - Ledang Heights","Nusajaya","JHR"
"79502","YAB Menteri Besar","Nusajaya","JHR"
"79503","Setiausaha Kerajaan Negeri","Nusajaya","JHR"
"79503","Unit Perancang Ekonomi","Nusajaya","JHR"
"79504","Biro Bantuan Guaman","Nusajaya","JHR"
"79505","Biro Pengaduan Awam","Nusajaya","JHR"
"79511","Badan Kawal Selia Air Negeri Johor (BAKAJ)","Nusajaya","JHR"
"79513","Unit Media Dan Komunikasi","Nusajaya","JHR"
"79514","Jabatan Perangkaan","Nusajaya","JHR"
"79517","Jabatan Perpaduan Negara","Nusajaya","JHR"
"79518","Ketua Audit Negeri Johor","Nusajaya","JHR"
"79520","Suruhanjaya Perkhidmatan Awam","Nusajaya","JHR"
"79521","Pusat Pelaburan Johor","Nusajaya","JHR"
"79523","Sains Teknologi dan ICT Negeri Johor","Nusajaya","JHR"
"79532","Jabatan Sumber Manusia","Nusajaya","JHR"
"79538","Jabatan Keselamatan Sosial (PERKESO)","Nusajaya","JHR"
"79540","Jabatan Tenaga Rakyat","Nusajaya","JHR"
"79546","Pejabat Rela Negeri Johor","Nusajaya","JHR"
"79548","Jabatan Hal Ehwal Orang Asli","Nusajaya","JHR"
"79550","Jabatan Imigresen","Nusajaya","JHR"
"79552","Jabatan Pendaftar Pertubuhan","Nusajaya","JHR"
"79555","Pejabat EXCO","Nusajaya","JHR"
"79570","Jabatan Belia Dan Sukan","Nusajaya","JHR"
"79575","Perbadanan Taman Negara","Nusajaya","JHR"
"79576","Jabatan Tanah Dan Galian","Nusajaya","JHR"
"79592","Pegawai Kewangan Negeri","Nusajaya","JHR"
"79601","Majlis Sukan Negeri Johor","Nusajaya","JHR"
"79603","Yayasan Pembangunan Keluarga","Nusajaya","JHR"
"79605","Majlis Keselamatan Negara","Nusajaya","JHR"
"79606","Jabatan Kemajuan Masyarakat (KEMAS)","Nusajaya","JHR"
"79612","Jabatan Penerangan","Nusajaya","JHR"
"79626","Jabatan Pengairan Dan Saliran","Nusajaya","JHR"
"79630","Jabatan Haiwan","Nusajaya","JHR"
"79632","Jabatan Pertanian","Nusajaya","JHR"
"79646","Jabatan Perancang Bandar Dan Desa","Nusajaya","JHR"
"79658","Jabatan Geosains dan Metrologi","Nusajaya","JHR"
"79660","Jabatan Perhutanan","Nusajaya","JHR"
"79680","Pejabat Majlis Mesyuarat Kerajaan Dan Dewan Negeri Johor","Nusajaya","JHR"
"79681","Pejabat Speaker","Nusajaya","JHR"
"79683","Pejabat Setiausaha Jawatankuasa Negeri Johor","Nusajaya","JHR"
"80000","Jalan Abdullah Ibrahim","Johor Bahru","JHR"
"80000","Jalan Ayer Molek","Johor Bahru","JHR"
"80000","Jalan Bukit Timbalan","Johor Bahru","JHR"
"80000","Jalan Bukit Zaharah","Johor Bahru","JHR"
"80000","Jalan Dato Dalam","Johor Bahru","JHR"
"80000","Jalan Dato Onn","Johor Bahru","JHR"
"80000","Jalan Dhoby","Johor Bahru","JHR"
"80000","Jalan Duke","Johor Bahru","JHR"
"80000","Jalan Engku Endut","Johor Bahru","JHR"
"80000","Jalan Gertak Merah","Johor Bahru","JHR"
"80000","Jalan Ibrahim","Johor Bahru","JHR"
"80000","Jalan Khalid Abdullah","Johor Bahru","JHR"
"80000","Jalan Lee Thye Heng","Johor Bahru","JHR"
"80000","Jalan Meldrum","Johor Bahru","JHR"
"80000","Jalan Mohd Noor","Johor Bahru","JHR"
"80000","Jalan Ngee Heng","Johor Bahru","JHR"
"80000","Jalan Pahang","Johor Bahru","JHR"
"80000","Jalan Pasar","Johor Bahru","JHR"
"80000","Jalan Salim","Johor Bahru","JHR"
"80000","Jalan Sawmill","Johor Bahru","JHR"
"80000","Jalan Segget","Johor Bahru","JHR"
"80000","Jalan Selat Tebrau","Johor Bahru","JHR"
"80000","Jalan Sieu Koon","Johor Bahru","JHR"
"80000","Jalan Siew Chin","Johor Bahru","JHR"
"80000","Jalan Siu Nam","Johor Bahru","JHR"
"80000","Jalan Station","Johor Bahru","JHR"
"80000","Jalan Sulaiman","Johor Bahru","JHR"
"80000","Jalan Syed Mohamad Mufti","Johor Bahru","JHR"
"80000","Jalan Tan Hock Nee","Johor Bahru","JHR"
"80000","Jalan Tangga Duke","Johor Bahru","JHR"
"80000","Jalan Trus","Johor Bahru","JHR"
"80000","Jalan Tun Abdul Razak (Hingga Km 1)","Johor Bahru","JHR"
"80000","Jalan Tun Sri Lanang","Johor Bahru","JHR"
"80000","Jalan Ungku Puan","Johor Bahru","JHR"
"80000","Jalan Wong Ah Fook","Johor Bahru","JHR"
"80000","Kampung Air Molek","Johor Bahru","JHR"
"80000","Kompleks Tun Abdul Razak (Komtar)","Johor Bahru","JHR"
"80000","Wisma Persekutuan","Johor Bahru","JHR"
"80050","Jalan Badik 1","Johor Bahru","JHR"
"80050","Jalan Badik 2","Johor Bahru","JHR"
"80050","Jalan Badik","Johor Bahru","JHR"
"80050","Jalan Bentara Dalam","Johor Bahru","JHR"
"80050","Jalan Bentara Luar","Johor Bahru","JHR"
"80050","Jalan Cokmar (1 - 5)","Johor Bahru","JHR"
"80050","Jalan Cokmar","Johor Bahru","JHR"
"80050","Jalan Inang (1 - 4)","Johor Bahru","JHR"
"80050","Jalan Inang","Johor Bahru","JHR"
"80050","Jalan Kelewang (1 - 4)","Johor Bahru","JHR"
"80050","Jalan Kelewang","Johor Bahru","JHR"
"80050","Jalan Kerambit (1 - 4)","Johor Bahru","JHR"
"80050","Jalan Kerambit","Johor Bahru","JHR"
"80050","Jalan Keris (1 - 2)","Johor Bahru","JHR"
"80050","Jalan Keris","Johor Bahru","JHR"
"80050","Jalan Lembing (1 - 5)","Johor Bahru","JHR"
"80050","Jalan Lembing","Johor Bahru","JHR"
"80050","Jalan Mahkota","Johor Bahru","JHR"
"80050","Jalan Pasir Pelangi","Johor Bahru","JHR"
"80050","Jalan Perisai","Johor Bahru","JHR"
