"POSTCODE","ADDRESS","CITY","STATE"
"05000","Jalan Istana Lama","Alor Setar","KDH"
"05000","Jalan Kampung Baru","Alor Setar","KDH"
"05000","Jalan Kanchut","Alor Setar","KDH"
"05000","Jalan Kolam Air","Alor Setar","KDH"
"05000","Jalan Kolam","Alor Setar","KDH"
"05000","Jalan Kota","Alor Setar","KDH"
"05000","Jalan Limbong Kapal","Alor Setar","KDH"
"05000","Jalan Mahdali","Alor Setar","KDH"
"05000","Jalan Mahsuri","Alor Setar","KDH"
"05000","Jalan Malinja","Alor Setar","KDH"
"05000","Jalan Market Cina","Alor Setar","KDH"
"05000","Jalan Nagor","Alor Setar","KDH"
"05000","Jalan Pekan China","Alor Setar","KDH"
"05000","Jalan Pekan Melayu","Alor Setar","KDH"
"05000","Jalan Pengkalan Kapal","Alor Setar","KDH"
"05000","Jalan Penjara Lama","Alor Setar","KDH"
"05000","Jalan SetiaJaya","Alor Setar","KDH"
"05000","Jalan Stesyen","Alor Setar","KDH"
"05000","Jalan Tunku Ibrahim","Alor Setar","KDH"
"05000","Kompleks Jalan Raja","Alor Setar","KDH"
"05000","Kuala Sanglang (Perlis)","Alor Setar","KDH"
"05000","Lorong Merah","Alor Setar","KDH"
"05000","Lorong Padi","Alor Setar","KDH"
"05000","Lorong Puteh","Alor Setar","KDH"
"05000","Lorong Puyoh","Alor Setar","KDH"
"05000","Lorong Setar","Alor Setar","KDH"
"05000","Lorong Tangki","Alor Setar","KDH"
"05000","Lorong Thean Kee","Alor Setar","KDH"
"05000","Lorong Timur","Alor Setar","KDH"
"05000","Menara MPKS","Alor Setar","KDH"
"05000","Pekan Cina","Alor Setar","KDH"
"05000","Pekan Melayu","Alor Setar","KDH"
"05000","Pengkalan Kapal","Alor Setar","KDH"
"05000","Wisma Darulaman","Alor Setar","KDH"
"05000","Wisma PKNK","Alor Setar","KDH"
"05000","Wisma Persekutuan","Alor Setar","KDH"
"05050","Jalan Ampang Jajar","Alor Setar","KDH"
"05050","Jalan Bunga Raya Hujung","Alor Setar","KDH"
"05050","Jalan Bunga Raya","Alor Setar","KDH"
"05050","Jalan Cahaya","Alor Setar","KDH"
"05050","Jalan Inai","Alor Setar","KDH"
"05050","Jalan Kilang Tebu","Alor Setar","KDH"
"05050","Jalan Kota Tanah","Alor Setar","KDH"
"05050","Jalan Pegawai","Alor Setar","KDH"
"05050","Jalan Sultan Badlishah","Alor Setar","KDH"
"05050","Jalan Teratai Jingga","Alor Setar","KDH"
"05050","Kampung Benggali","Alor Setar","KDH"
"05050","Kampung Dahlia","Alor Setar","KDH"
"05050","Kampung Kastam","Alor Setar","KDH"
"05050","Kampung Kilang Tebu","Alor Setar","KDH"
"05050","Kampung Padang","Alor Setar","KDH"
"05050","Kampung Peremba","Alor Setar","KDH"
"05050","Kampung Piew","Alor Setar","KDH"
"05050","Kampung Seberang Perak","Alor Setar","KDH"
"05050","Komplek Perniagaan Sultan A.Hamid","Alor Setar","KDH"
"05050","Lorong Air Puteh","Alor Setar","KDH"
"05050","Lorong Bertam","Alor Setar","KDH"
"05050","Lorong Bidara","Alor Setar","KDH"
"05050","Lorong Chempaka","Alor Setar","KDH"
"05050","Lorong Dahlia","Alor Setar","KDH"
"05050","Lorong Hilir","Alor Setar","KDH"
"05050","Lorong Kemuning","Alor Setar","KDH"
"05050","Lorong Kenanga","Alor Setar","KDH"
"05050","Lorong Melati","Alor Setar","KDH"
"05050","Lorong Melor","Alor Setar","KDH"
"05050","Lorong Nipah","Alor Setar","KDH"
"05050","Lorong Nyior Setali","Alor Setar","KDH"
"05050","Lorong Padang","Alor Setar","KDH"
"05050","Lorong Peremba","Alor Setar","KDH"
"05050","Lorong Peteri","Alor Setar","KDH"
"05050","Lorong Rose","Alor Setar","KDH"
"05050","Lorong Tongkang Yard","Alor Setar","KDH"
"05050","Seberang Perak","Alor Setar","KDH"
"05050","Taman Abdul Aziz","Alor Setar","KDH"
"05050","Taman Air Puteh","Alor Setar","KDH"
"05050","Taman Anggerik","Alor Setar","KDH"
"05050","Taman Bahagia","Alor Setar","KDH"
"05050","Taman Berjaya","Alor Setar","KDH"
"05050","Taman Bunga Raya","Alor Setar","KDH"
"05050","Taman Cemara","Alor Setar","KDH"
"05050","Taman Datin Nurulkiah","Alor Setar","KDH"
"05050","Taman Desa","Alor Setar","KDH"
"05050","Taman Hartamas","Alor Setar","KDH"
"05050","Taman Hujung Bunga Raya","Alor Setar","KDH"
"05050","Taman Inai","Alor Setar","KDH"
"05050","Taman Komuda","Alor Setar","KDH"
"05050","Taman Lam Fong","Alor Setar","KDH"
"05050","Taman Malik","Alor Setar","KDH"
"05050","Taman Nurul Kiah","Alor Setar","KDH"
"05050","Taman Nyior Setali","Alor Setar","KDH"
"05050","Taman Purnama (1 & 2)","Alor Setar","KDH"
"05050","Taman Ria","Alor Setar","KDH"
"05050","Taman Selamat","Alor Setar","KDH"
"05050","Taman Seri Aman","Alor Setar","KDH"
"05050","Taman Seri Ampang","Alor Setar","KDH"
"05050","Taman Seri Bandar","Alor Setar","KDH"
"05050","Taman Seri Indah","Alor Setar","KDH"
"05050","Taman Seri Jaya","Alor Setar","KDH"
"05050","Taman Seri Manis","Alor Setar","KDH"
"05050","Taman Setia (A - D)","Alor Setar","KDH"
"05050","Taman Sinaran","Alor Setar","KDH"
"05050","Taman Sultan Badlishah","Alor Setar","KDH"
"05050","Taman Teratai Jingga","Alor Setar","KDH"
"05050","Tongkang Yard","Alor Setar","KDH"
"05100","Jalan Bakar Bata","Alor Setar","KDH"
"05100","Jalan Kampung Perak","Alor Setar","KDH"
"05100","Jalan Kampung Pisang","Alor Setar","KDH"
"05100","Jalan Kolam Renang","Alor Setar","KDH"
"05100","Jalan Loh Joh Huat","Alor Setar","KDH"
"05100","Jalan Lumpur","Alor Setar","KDH"
"05100","Jalan Mahkota","Alor Setar","KDH"
"05100","Jalan Menanti","Alor Setar","KDH"
"05100","Jalan Nuri","Alor Setar","KDH"
"05100","Jalan Pintu Sepuluh","Alor Setar","KDH"
"05100","Jalan Sekerat","Alor Setar","KDH"
"05100","Jalan Serai","Alor Setar","KDH"
"05100","Jalan Stadium","Alor Setar","KDH"
"05100","Jalan Tambang Badak","Alor Setar","KDH"
"05100","Jalan Telok Sena","Alor Setar","KDH"
"05100","Jalan Tengah","Alor Setar","KDH"
"05100","Jalan Tengku Habsah","Alor Setar","KDH"
"05100","Jalan Terang","Alor Setar","KDH"
"05100","Jalan Tunku Abdul Halim","Alor Setar","KDH"
"05100","Jalan Yakin","Alor Setar","KDH"
"05100","Kampung Belakang Stadium","Alor Setar","KDH"
"05100","Lebuhraya Darulaman","Alor Setar","KDH"
"05100","Lorong Asap","Alor Setar","KDH"
"05100","Lorong Balai Jam","Alor Setar","KDH"
"05100","Lorong Bayan","Alor Setar","KDH"
"05100","Lorong Delima","Alor Setar","KDH"
"05100","Lorong Joo Huat","Alor Setar","KDH"
"05100","Lorong Kampung Pisang","Alor Setar","KDH"
"05100","Lorong Kelompang","Alor Setar","KDH"
"05100","Lorong Liku","Alor Setar","KDH"
"05100","Lorong Mahdali","Alor Setar","KDH"
"05100","Lorong Mahkota","Alor Setar","KDH"
"05100","Lorong Nuri","Alor Setar","KDH"
"05100","Lorong Pekaka","Alor Setar","KDH"
"05100","Lorong Peringgi","Alor Setar","KDH"
"05100","Lorong Pipit","Alor Setar","KDH"
"05100","Lorong Rambang","Alor Setar","KDH"
"05100","Lorong Seberang Perak","Alor Setar","KDH"
"05100","Lorong Sena","Alor Setar","KDH"
"05100","Lorong Serai","Alor Setar","KDH"
"05100","Lorong Sukaramai","Alor Setar","KDH"
"05100","Lorong Sungai","Alor Setar","KDH"
"05100","Lorong Tengah","Alor Setar","KDH"
"05100","Lorong Terang","Alor Setar","KDH"
"05100","Lorong Titi Siam","Alor Setar","KDH"
"05100","Lorong Watt Siam","Alor Setar","KDH"
"05100","Sempadan Sungai Anak Bukit","Alor Setar","KDH"
"05100","Taman Alor Malai","Alor Setar","KDH"
"05100","Taman Darulaman","Alor Setar","KDH"
"05100","Taman Habsah","Alor Setar","KDH"
"05100","Taman Jaya Kami","Alor Setar","KDH"
"05100","Taman Loh Joo Huat","Alor Setar","KDH"
"05100","Taman Mahkota","Alor Setar","KDH"
"05100","Taman Seri Idaman","Alor Setar","KDH"
"05100","Taman Stadium","Alor Setar","KDH"
"05100","Taman Tunku Majid","Alor Setar","KDH"
"05150","Alor Melintang Anak","Alor Setar","KDH"
"05150","Alor Melintang Gunung","Alor Setar","KDH"
"05150","Bangunan Asas Jaya","Alor Star","KDH"
"05150","Flat Tok Batin","Alor Star","KDH"
"05150","Gunung Sali","Alor Setar","KDH"
"05150","Jalan Emas","Alor Setar","KDH"
"05150","Jalan Gangsa","Alor Setar","KDH"
"05150","Jalan Kampung Berjaya","Alor Setar","KDH"
"05150","Jalan Lengkongan Barat","Alor Setar","KDH"
"05150","Jalan Pendidikan","Alor Setar","KDH"
"05150","Jalan Perak","Alor Setar","KDH"
"05150","Jalan Putera","Alor Setar","KDH"
"05150","Jalan Putih","Alor Setar","KDH"
"05150","Jalan Seberang Putera Kanan","Alor Setar","KDH"
"05150","Jalan Seberang Putera Kiri","Alor Setar","KDH"
"05150","Jalan Seberang Terus","Alor Setar","KDH"
"05150","Jalan Teluk Yan","Alor Setar","KDH"
"05150","Jalan Tembaga","Alor Setar","KDH"
"05150","Jalan Tuanku Abdul Rahman","Alor Setar","KDH"
"05150","Jalan Utara","Alor Setar","KDH"
"05150","Kampung Alor Berah","Alor Setar","KDH"
"05150","Kampung Alor Gunong","Alor Setar","KDH"
"05150","Kampung Alor Madi","Alor Setar","KDH"
"05150","Kampung Alor Melintang","Alor Setar","KDH"
"05150","Kampung Alor Pasir","Alor Setar","KDH"
"05150","Kampung Alor Pea","Alor Setar","KDH"
"05150","Kampung Berjaya","Alor Setar","KDH"
"05150","Kampung Chegar","Alor Setar","KDH"
"05150","Kampung Gunung Sali","Alor Setar","KDH"
"05150","Kampung Gunung Sau","Alor Setar","KDH"
"05150","Kampung Jerangan","Alor Setar","KDH"
"05150","Kampung Kelompang (Mergong)","Alor Setar","KDH"
"05150","Kampung Kilang","Alor Setar","KDH"
"05150","Kampung Legar Pantai Johor","Alor Setar","KDH"
"05150","Kampung Lubok Peringgi","Alor Setar","KDH"
"05150","Kampung Pulau Kerengga","Alor Setar","KDH"
"05150","Kampung Seberang Anak Bukit","Alor Setar","KDH"
