"POSTCODE","ADDRESS","CITY","STATE"
"50000","Bangunan Bangkok Bank","Kuala Lumpur","KUL"
"50000","Jalan Balai Polis","Kuala Lumpur","KUL"
"50000","Jalan Bandar","Kuala Lumpur","KUL"
"50000","Jalan Cheng Lock","Kuala Lumpur","KUL"
"50000","Jalan Hang Lekir","Kuala Lumpur","KUL"
"50000","Jalan Hang Naadim","Kuala Lumpur","KUL"
"50000","Jalan Panggung","Kuala Lumpur","KUL"
"50000","Jalan Petaling","Kuala Lumpur","KUL"
"50000","Jalan Sang Guna","Kuala Lumpur","KUL"
"50000","Jalan Skola","Kuala Lumpur","KUL"
"50000","Jalan Sultan Sulaiman","Kuala Lumpur","KUL"
"50000","Jalan Sultan","Kuala Lumpur","KUL"
"50000","Jalan Tun H.S. Lee","Kuala Lumpur","KUL"
"50000","Kompleks Kota Raya","Kuala Lumpur","KUL"
"50000","Lorong Bandar 16","Kuala Lumpur","KUL"
"50000","Lorong Hang Lekir","Kuala Lumpur","KUL"
"50000","Lorong Madras","Kuala Lumpur","KUL"
"50000","Lorong Panggung","Kuala Lumpur","KUL"
"50000","Lorong Sang Guna","Kuala Lumpur","KUL"
"50000","Lorong Sultan","Kuala Lumpur","KUL"
"50050","Balai Seni Lukis Negara","Kuala Lumpur","KUL"
"50050","Bangunan Bank Pertanian","Kuala Lumpur","KUL"
"50050","Bangunan Cahaya Suria","Kuala Lumpur","KUL"
"50050","Bangunan Lee Yan Lian","Kuala Lumpur","KUL"
"50050","Bangunan Strait Trading","Kuala Lumpur","KUL"
"50050","Central Square","Kuala Lumpur","KUL"
"50050","Jalan Benteng","Kuala Lumpur","KUL"
"50050","Jalan Hang Kasturi","Kuala Lumpur","KUL"
"50050","Jalan Mahkamah Persekutuan","Kuala Lumpur","KUL"
"50050","Jalan Mahkamah Tinggi","Kuala Lumpur","KUL"
"50050","Jalan Medan Pasar","Kuala Lumpur","KUL"
"50050","Jalan Raja","Kuala Lumpur","KUL"
"50050","Jalan Silang","Kuala Lumpur","KUL"
"50050","Jalan Sultan Hishamuddin","Kuala Lumpur","KUL"
"50050","Jalan Sultan Mohammed","Kuala Lumpur","KUL"
"50050","Jalan Tugu","Kuala Lumpur","KUL"
"50050","Jalan Tun Perak","Kuala Lumpur","KUL"
"50050","Jalan Yap Ah Loy","Kuala Lumpur","KUL"
"50050","Kompleks Dayabumi","Kuala Lumpur","KUL"
"50050","Lebuh Pasar Besar","Kuala Lumpur","KUL"
"50050","Lebuh Pudu","Kuala Lumpur","KUL"
"50050","Lorong Pudu","Kuala Lumpur","KUL"
"50050","Lorong Silang","Kuala Lumpur","KUL"
"50050","Lorong Yap Ah Loy","Kuala Lumpur","KUL"
"50050","Medan Pasar","Kuala Lumpur","KUL"
"50050","Menara Maybank","Kuala Lumpur","KUL"
"50050","Muzium Sejarah Nasional Kuala Lumpur","Kuala Lumpur","KUL"
"50050","Pasar Budaya","Kuala Lumpur","KUL"
"50050","Stesen Keretapi Kuala Lumpur","Kuala Lumpur","KUL"
