"POSTCODE","ADDRESS","CITY","STATE"
"87000","Kampung Batu Arang","Labuan","LBN"
"87000","Kampung Cina","Labuan","LBN"
"87000","Kampung Gerisik","Labuan","LBN"
"87000","Kampung Lajau","Labuan","LBN"
"87000","Kampung Membijal","Labuan","LBN"
"87000","Kampung Parit","Labuan","LBN"
"87000","Kampung Pohon Batu","Labuan","LBN"
"87000","Kampung Sawagan","Labuan","LBN"
"87000","Kampung Seguking","Labuan","LBN"
"87000","Labuan","Labuan","LBN"
"87000","Layang-Layang","Labuan","LBN"
"87000","Ranca-Ranca","Labuan","LBN"
"87000","Sungai Miri","Labuan","LBN"
"87010","Labuan - Peti surat 80001 - 80100","Labuan","LBN"
"87011","Labuan - Peti surat 80101 - 80200 ","Labuan","LBN"
"87012","Labuan - Peti surat 80201 - 80300","Labuan","LBN"
"87013","Labuan - Peti surat 80301 - 80400","Labuan","LBN"
"87014","Labuan - Peti surat 80401 - 80500","Labuan","LBN"
"87015","Labuan - Peti surat 80501 - 80600","Labuan","LBN"
"87016","Labuan - Peti surat 80601 - 80700","Labuan","LBN"
"87017","Labuan - Peti surat 80701 - 80800","Labuan","LBN"
"87018","Labuan - Peti surat 80801 - 80900 ","Labuan","LBN"
"87019","Labuan - Peti surat 80901 - 81000","Labuan","LBN"
"87020","Labuan - Peti surat 81001 - 81100","Labuan","LBN"
"87021","Labuan - Peti surat 81101 - 81200","Labuan","LBN"
"87022","Labuan - Peti surat 81201 - 81300","Labuan","LBN"
"87023","Labuan - Peti surat 81301 - 81400","Labuan","LBN"
"87024","Labuan - Peti surat 81401 - 81500","Labuan","LBN"
"87025","Labuan - Peti surat 81501 - 81600","Labuan","LBN"
"87026","Labuan - Peti surat 81601 - 81700","Labuan","LBN"
"87027","Labuan - Peti surat 81701 - 81800","Labuan","LBN"
"87028","Labuan - Peti surat 81801 - 81900","Labuan","LBN"
"87029","Labuan - Peti surat 81901 - 82000","Labuan","LBN"
"87030","Labuan - Peti surat 82001 - 82100","Labuan","LBN"
"87031","Labuan - Peti surat 82101 - 82200","Labuan","LBN"
"87032","Labuan - Peti surat 82201 - 82300","Labuan","LBN"
"87033","Labuan - Peti surat 82301 - 82330","Labuan","LBN"
