"POSTCODE","ADDRESS","CITY","STATE"
"75000","Bandar Hilir","Melaka","MLK"
"75000","Bangunan Tabung Haji","Melaka","MLK"
"75000","Bukit Gedong","Melaka","MLK"
"75000","Century Mahkota","Melaka","MLK"
"75000","Dataran Pahlawan Melaka Megamall","Melaka","MLK"
"75000","Dataran Pahlawan","Melaka","MLK"
"75000","Flat Bakti Mutiara","Melaka","MLK"
"75000","Flat Banda Kaba","Melaka","MLK"
"75000","Flat Bandar Hilir","Melaka","MLK"
"75000","Flat Garden City","Melaka","MLK"
"75000","Flat Laksamana A/B","Melaka","MLK"
"75000","Flat Polis Bandar Hilir","Melaka","MLK"
"75000","Flat Temenggung","Melaka","MLK"
"75000","Harbour Club","Melaka","MLK"
"75000","Hotel Holiday Inn Melaka","Melaka","MLK"
"75000","Jalan Banda Kaba","Melaka","MLK"
"75000","Jalan Bandar Hilir","Melaka","MLK"
"75000","Jalan Bukit Senjuang","Melaka","MLK"
"75000","Jalan Chan Koon Cheng","Melaka","MLK"
"75000","Jalan Gereja","Melaka","MLK"
"75000","Jalan Kota","Melaka","MLK"
"75000","Jalan Laksamana Cheng Ho","Melaka","MLK"
"75000","Jalan Laksamana","Melaka","MLK"
"75000","Jalan Leong Yew Koh","Melaka","MLK"
"75000","Jalan Melaka Raya","Melaka","MLK"
"75000","Jalan Merdeka","Melaka","MLK"
"75000","Jalan Panjang","Melaka","MLK"
"75000","Jalan Parameswara","Melaka","MLK"
"75000","Jalan Plaza Mahkota","Melaka","MLK"
"75000","Jalan Quayside","Melaka","MLK"
"75000","Jalan Temenggong","Melaka","MLK"
"75000","Jalan Thamby Abdullah","Melaka","MLK"
"75000","Jalan Tun Lew Koh","Melaka","MLK"
"75000","Kampung Banda Kaba","Melaka","MLK"
"75000","Kampung Bandar Hilir","Melaka","MLK"
"75000","Kampung Hilir","Melaka","MLK"
"75000","Kampung Jalan Panjang","Melaka","MLK"
"75000","Kampung Praya Lane","Melaka","MLK"
"75000","Kampung Praya","Melaka","MLK"
"75000","Lorong Banda Kaba","Melaka","MLK"
"75000","Lorong Bukit Cina (Banda Kaba)","Melaka","MLK"
"75000","Lorong Bukit Cina","Melaka","MLK"
"75000","Lorong Bukit Senjuang","Melaka","MLK"
"75000","Lorong Gereja","Melaka","MLK"
"75000","Lorong Pantai","Melaka","MLK"
"75000","Mahkota Medical Center","Melaka","MLK"
"75000","Mahkota Parade","Melaka","MLK"
"75000","Malacca Club","Melaka","MLK"
"75000","Medan Samudera","Melaka","MLK"
"75000","Melaka Raya","Melaka","MLK"
"75000","Pahlawan De Hatten Square","Melaka","MLK"
"75000","Pangsapuri Seri Bukit Senjuang","Melaka","MLK"
"75000","Plaza Bayu","Melaka","MLK"
"75000","Plaza Melaka Raya","Melaka","MLK"
"75000","Pulau Melaka","Melaka","MLK"
"75000","Pusat Seni","Melaka","MLK"
"75000","Rumah Awam Bandar Hilir","Melaka","MLK"
"75000","Rumah Pangsa Bandar Hilir","Melaka","MLK"
"75000","Rumah Pangsa Iskandar Shah","Melaka","MLK"
"75000","Taman Bakti","Melaka","MLK"
