"POSTCODE","ADDRESS","CITY","STATE"
"25000","Bangunan LKNP","Kuantan","PHG"
"25000","Biro Tata Negara Pahang","Kuantan","PHG"
"25000","Jabatan Bekalan Elektrik","Kuantan","PHG"
"25000","Jalan Bank","Kuantan","PHG"
"25000","Jalan Besar","Kuantan","PHG"
"25000","Jalan Gambut","Kuantan","PHG"
"25000","Jalan Haji Abd Aziz","Kuantan","PHG"
"25000","Jalan Haji Abd Rahman","Kuantan","PHG"
"25000","Jalan Lebai Ali","Kuantan","PHG"
"25000","Jalan Mahkota","Kuantan","PHG"
"25000","Jalan Masjid","Kuantan","PHG"
"25000","Jalan Pasar Baru","Kuantan","PHG"
"25000","Jalan Pasar Besar","Kuantan","PHG"
"25000","Jalan Pasar","Kuantan","PHG"
"25000","Jalan Stadium Darul Makmur","Kuantan","PHG"
"25000","Jalan Teluk Sisek","Kuantan","PHG"
"25000","Jalan Teruntum","Kuantan","PHG"
"25000","Jalan Tun Ismail 1","Kuantan","PHG"
"25000","Jalan Tun Ismail","Kuantan","PHG"
"25000","Kompleks Teruntum","Kuantan","PHG"
"25000","Lembaga Kemajuan Perusahaan Pertanian","Kuantan","PHG"
"25000","Lembaga Pelesenan Kelapa Sawit","Kuantan","PHG"
"25000","Lembaga Pertubuhan Peladang","Kuantan","PHG"
"25000","Lembaga Tabung Haji","Kuantan","PHG"
"25000","Lorong Haji Abdul Rahman 1","Kuantan","PHG"
"25000","Lorong Pasar Baru","Kuantan","PHG"
"25000","Lorong Tun Ismail (1 - 5)","Kuantan","PHG"
"25000","Lorong Tun Ismail 2","Kuantan","PHG"
"25000","Mahkota Parade","Kuantan","PHG"
"25000","Medan Pelancongan","Kuantan","PHG"
"25000","Pejabat Daerah Kuantan","Kuantan","PHG"
"25000","Pejabat MIDA Negeri","Kuantan","PHG"
"25000","Pusat Khidmat Kontraktor","Kuantan","PHG"
"25000","Telok Sisek","Kuantan","PHG"
"25000","Teluk Sisek Pendek","Kuantan","PHG"
"25000","Wisma Persekutuan","Kuantan","PHG"
"25050","Istana Hinggap","Kuantan","PHG"
"25050","Jalan Abu Samah","Kuantan","PHG"
"25050","Jalan Che Timah","Kuantan","PHG"
"25050","Jalan Club Golf Teruntum","Kuantan","PHG"
"25050","Jalan Dato Abdullah","Kuantan","PHG"
"25050","Jalan Dato Bahaman","Kuantan","PHG"
"25050","Jalan Dato Haji Abu Bakar","Kuantan","PHG"
"25050","Jalan Haji Abu Bakar","Kuantan","PHG"
"25050","Jalan Kampung Tanjung Api","Kuantan","PHG"
"25050","Jalan Merbok","Kuantan","PHG"
"25050","Jalan Padang Golf","Kuantan","PHG"
"25050","Jalan Padang Lalang","Kuantan","PHG"
"25050","Jalan Taman Tok Sira","Kuantan","PHG"
"25050","Jalan Tanjong Api","Kuantan","PHG"
"25050","Jalan Teluk Chempedak","Kuantan","PHG"
"25050","Jalan Teluk Sisek","Kuantan","PHG"
"25050","Jalan Tengku Muhamad","Kuantan","PHG"
"25050","Jalan Tok Sira","Kuantan","PHG"
"25050","Kampung Galing Kechil","Kuantan","PHG"
"25050","Kampung Jalan Telok Sisek","Kuantan","PHG"
"25050","Kampung Jalan Teluk Sisek","Kuantan","PHG"
"25050","Kampung Kubang Buaya","Kuantan","PHG"
"25050","Kampung Kubor Tok Keramat","Kuantan","PHG"
"25050","Kampung Selamat","Kuantan","PHG"
"25050","Kampung Tanjong Api","Kuantan","PHG"
"25050","Kingdom Park","Kuantan","PHG"
"25050","Lorong Alor Akar","Kuantan","PHG"
"25050","Lorong Alur Akar 6","Kuantan","PHG"
"25050","Lorong Kubang Buaya 61","Kuantan","PHG"
"25050","Lorong Kubang Buaya","Kuantan","PHG"
"25050","Lorong Padang Lalang","Kuantan","PHG"
"25050","Lorong Pelindung 101","Kuantan","PHG"
"25050","Lorong Pelindung 50","Kuantan","PHG"
"25050","Lorong Pelindung 54","Kuantan","PHG"
"25050","Lorong Pelindung 76","Kuantan","PHG"
"25050","Lorong Selamat 40","Kuantan","PHG"
"25050","Lorong Tanjong Api","Kuantan","PHG"
"25050","Lorong Tok Sira 10","Kuantan","PHG"
"25050","Lorong Tok Sira 6","Kuantan","PHG"
"25050","Lorong Tok Sira 70","Kuantan","PHG"
"25050","Medan Tok Sera","Kuantan","PHG"
"25050","Padang Lalang","Kuantan","PHG"
"25050","Perkampungan Pelindung","Kuantan","PHG"
"25050","Perkampungan Selamat","Kuantan","PHG"
"25050","Perkampungan Tok Sira","Kuantan","PHG"
"25050","Taman Bakti","Kuantan","PHG"
"25050","Taman Bukit Perlindung (1 & 2)","Kuantan","PHG"
"25050","Taman Cempedak","Kuantan","PHG"
"25050","Taman Coorperative","Kuantan","PHG"
"25050","Taman Datin Maharum","Kuantan","PHG"
"25050","Taman Galing Kecil","Kuantan","PHG"
"25050","Taman Gelora","Kuantan","PHG"
"25050","Taman Jaya","Kuantan","PHG"
"25050","Taman Kasturi","Kuantan","PHG"
"25050","Taman Kerjasama","Kuantan","PHG"
"25050","Taman Kingdom","Kuantan","PHG"
"25050","Taman Koperatif","Kuantan","PHG"
"25050","Taman LKNP Baru","Kuantan","PHG"
"25050","Taman LKNP Medan Tok Sera","Kuantan","PHG"
"25050","Taman LKNP Peringkat 1","Kuantan","PHG"
"25050","Taman LKNP Peringkat 2","Kuantan","PHG"
"25050","Taman Lorong Kijang","Kuantan","PHG"
"25050","Taman Makmor","Kuantan","PHG"
"25050","Taman Medan Tok Sira","Kuantan","PHG"
"25050","Taman Melodies","Kuantan","PHG"
"25050","Taman Melody","Kuantan","PHG"
"25050","Taman Melor","Kuantan","PHG"
"25050","Taman Merbok","Kuantan","PHG"
"25050","Taman Merdeka","Kuantan","PHG"
"25050","Taman Pantai Cempedak","Kuantan","PHG"
"25050","Taman Pelindong","Kuantan","PHG"
"25050","Taman Selamat Baru","Kuantan","PHG"
"25050","Taman Selamat","Kuantan","PHG"
"25050","Taman Seroja","Kuantan","PHG"
"25050","Taman Tanjong Api","Kuantan","PHG"
"25050","Taman Taz","Kuantan","PHG"
"25050","Taman Teberau","Kuantan","PHG"
"25050","Taman Teluk Cempedak","Kuantan","PHG"
"25050","Taman Teluk Sisek","Kuantan","PHG"
"25050","Taman Tengku Mahmud","Kuantan","PHG"
"25050","Taman Tengku Mohamad","Kuantan","PHG"
"25050","Taman Teratai","Kuantan","PHG"
"25050","Taman Timur Jaya","Kuantan","PHG"
"25050","Taman Tok Sira","Kuantan","PHG"
"25050","Tanjung Api","Kuantan","PHG"
"25050","Teluk Cempedak","Kuantan","PHG"
"25100","Fountain Park","Kuantan","PHG"
"25100","Jalan Bayam","Kuantan","PHG"
"25100","Jalan Bintang","Kuantan","PHG"
"25100","Jalan Cempaka","Kuantan","PHG"
"25100","Jalan Cemperai","Kuantan","PHG"
"25100","Jalan Darat Makbar","Kuantan","PHG"
"25100","Jalan Dato Wong Ah Jang","Kuantan","PHG"
"25100","Jalan Hospital","Kuantan","PHG"
"25100","Jalan Kampung Tengah","Kuantan","PHG"
"25100","Jalan Kemunting","Kuantan","PHG"
"25100","Jalan Mat Kilau","Kuantan","PHG"
"25100","Jalan Penjara","Kuantan","PHG"
"25100","Jalan Perisai","Kuantan","PHG"
"25100","Jalan Sentol (Tanah Puteh)","Kuantan","PHG"
"25100","Jalan Sri Teruntum","Kuantan","PHG"
"25100","Jalan Taman Tengah","Kuantan","PHG"
"25100","Jalan Tanah Puteh","Kuantan","PHG"
"25100","Jalan Tanah Putih Lama","Kuantan","PHG"
"25100","Jalan Terkukur","Kuantan","PHG"
"25100","Jalan Wong Ah Jang","Kuantan","PHG"
"25100","Kampung Baru, Kuantan","Kuantan","PHG"
"25100","Kampung Darat Makbar","Kuantan","PHG"
"25100","Kampung Darat Tanah Puteh","Kuantan","PHG"
"25100","Kampung Melayu","Kuantan","PHG"
