"POSTCODE","ADDRESS","CITY","STATE"
"10000","Bangunan Komtar","Pulau Pinang","PNG"
"10000","Jalan Gladstone","Pulau Pinang","PNG"
"10000","Jalan Magazine (No Genap)","Pulau Pinang","PNG"
"10000","Jalan Maxwell","Pulau Pinang","PNG"
"10000","Jalan Penang","Pulau Pinang","PNG"
"10000","Jalan Ria","Pulau Pinang","PNG"
"10000","Kompleks Tun Abdul Razak","Pulau Pinang","PNG"
"10000","Lebuh Tek Soon","Pulau Pinang","PNG"
"10000","Prangin Mall","Pulau Pinang","PNG"
"10050","Jalan Argyll","Pulau Pinang","PNG"
"10050","Jalan Ariffin","Pulau Pinang","PNG"
"10050","Jalan Arratoon","Pulau Pinang","PNG"
"10050","Jalan Bawasah","Pulau Pinang","PNG"
"10050","Jalan Burma (1 - 237 & 2 - 184)","Pulau Pinang","PNG"
"10050","Jalan Chow Thye","Pulau Pinang","PNG"
"10050","Jalan Clove Hall","Pulau Pinang","PNG"
"10050","Jalan Dato Koyah","Pulau Pinang","PNG"
"10050","Jalan Dinding","Pulau Pinang","PNG"
"10050","Jalan Gudwara","Pulau Pinang","PNG"
"10050","Jalan Hutton","Pulau Pinang","PNG"
"10050","Jalan Irawadi","Pulau Pinang","PNG"
"10050","Jalan Kedah","Pulau Pinang","PNG"
"10050","Jalan Kelantan","Pulau Pinang","PNG"
"10050","Jalan Khoo Sian Ewe","Pulau Pinang","PNG"
"10050","Jalan Larut","Pulau Pinang","PNG"
"10050","Jalan Nagore","Pulau Pinang","PNG"
"10050","Jalan Pangkor","Pulau Pinang","PNG"
"10050","Jalan Phee Choon","Pulau Pinang","PNG"
"10050","Jalan Phuah Hin Leong","Pulau Pinang","PNG"
"10050","Jalan SP Cheeliah","Pulau Pinang","PNG"
"10050","Jalan Salween","Pulau Pinang","PNG"
"10050","Jalan Sekerat","Pulau Pinang","PNG"
"10050","Jalan Service","Pulau Pinang","PNG"
"10050","Jalan Sri Bahari","Pulau Pinang","PNG"
"10050","Jalan Sultan Ahmad Shah","Pulau Pinang","PNG"
"10050","Jalan Tavoy","Pulau Pinang","PNG"
"10050","Jalan Transfer","Pulau Pinang","PNG"
"10050","Lebuh Clarke","Pulau Pinang","PNG"
"10050","Lebuh Dickens","Pulau Pinang","PNG"
"10050","Lorong Amoy","Pulau Pinang","PNG"
"10050","Lorong Ceylon","Pulau Pinang","PNG"
"10050","Lorong Hutton","Pulau Pinang","PNG"
"10050","Lorong Popus","Pulau Pinang","PNG"
"10050","Lorong Swatow","Pulau Pinang","PNG"
"10050","Menara BHLB","Pulau Pinang","PNG"
"10050","Menara KWSP","Pulau Pinang","PNG"
"10050","Menara Liang Court","Pulau Pinang","PNG"
"10050","Menara MBF","Pulau Pinang","PNG"
"10050","Menara Northem","Pulau Pinang","PNG"
"10050","Menara PSCI","Pulau Pinang","PNG"
"10050","Menara Penang Garden","Pulau Pinang","PNG"
"10050","Mesbol Tower","Pulau Pinang","PNG"
"10050","Pragin Mall","Pulau Pinang","PNG"
"10050","Solok Tavoy","Pulau Pinang","PNG"
"10100","Halaman Khoo Cheow Teong","Pulau Pinang","PNG"
"10100","Jalan Cheong Fatt Tze","Pulau Pinang","PNG"
"10100","Jalan Chowrasta","Pulau Pinang","PNG"
"10100","Jalan Dr Lim Chwee Leong","Pulau Pinang","PNG"
"10100","Jalan Kuala Kangsar","Pulau Pinang","PNG"
"10100","Jalan Pintal Tali","Pulau Pinang","PNG"
"10100","Jalan Sungai Ujong","Pulau Pinang","PNG"
"10100","Kampung Malabar","Pulau Pinang","PNG"
"10100","Lebuh Campbell","Pulau Pinang","PNG"
