"POSTCODE","ADDRESS","CITY","STATE"
"62000","Putrajaya - (Presint 1, 12, 14 & 15)","Putrajaya","PJY"
"62007","Badan Pencegah Rasuah","Putrajaya","PJY"
"62050","Bahagian Pilihanraya Parlimen P125 Putrajaya","Putrajaya","PJY"
"62100","Jalan P16G (Presint 16)","Putrajaya","PJY"
"62100","Jalan P18C 1/2","Putrajaya","PJY"
"62100","Jalan Tunku Abdul Rahman (Presint 3)","Putrajaya","PJY"
"62100","Kementerian Wilayah Persekutuan","Putrajaya","PJY"
"62100","Persiaran Perdana (Presint 4)","Putrajaya","PJY"
"62100","Putrajaya - (Presint 16 & 17)","Putrajaya","PJY"
"62100","Putrajaya - (Presint 2, 3, 4 & 18)","Putrajaya","PJY"
"62100","Suruhanjaya Tenaga","Putrajaya","PJY"
"62150","Putrajaya - (Presint 5, 6, 19 & 20)","Putrajaya","PJY"
"62200","Former Prime Minister of Malaysia","Putrajaya","PJY"
"62250","Jalan P10/4","Putrajaya","PJY"
"62250","Jalan P7E","Putrajaya","PJY"
"62250","Jalan P8E 2/5-2","Putrajaya","PJY"
"62250","Jalan P9C/1 Presint 9 ","Putrajaya","PJY"
"62250","Putrajaya - (Presint 11 & 13)","Putrajaya","PJY"
"62250","Putrajaya - (Presint 7, 8, 9 & 10)","Putrajaya","PJY"
"62300","Bahagian Kerja Tanah Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Bahagian Keselamatan Negara Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Bahagian Pengurusan Harta Tanah Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Bahagian Penyelidikan Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Biro Tatanegara","Putrajaya","PJY"
"62502","Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Ketua Setiausaha Negara","Putrajaya","PJY"
"62502","Ketua Setiausaha Sulit Kanan Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Ketua Unit Kawal Selia Felda","Putrajaya","PJY"
"62502","Koperasi Pekerja-Pekerja Jabatan Perdana Menteri Berhad","Putrajaya","PJY"
"62502","Lembaga Penasihat Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Pejabat Menteri di Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Pejabat Perdana Menteri ","Putrajaya","PJY"
"62502","Pejabat Timbalan Menteri di Jabatan Perdana Menteri","Putrajaya","PJY"
"62502","Pejabat Timbalan Perdana Menteri ","Putrajaya","PJY"
"62502","Penasihat Agama Islam kepada Yang Amat Berhormat Perdana Menteri ","Putrajaya","PJY"
"62502","Seketrial Permata Jabatan Perdana Menteri","Putrajaya","PJY"
