"POSTCODE","ADDRESS","CITY","STATE"
"88000","Bangunan Api-Api","Kota Kinabalu","SBH"
"88000","Bangunan Asia City","Kota Kinabalu","SBH"
"88000","Bangunan BFO","Kota Kinabalu","SBH"
"88000","Bangunan Bank Negara","Kota Kinabalu","SBH"
"88000","Bangunan Centre Point","Kota Kinabalu","SBH"
"88000","Bangunan Dewan Bandaraya Kota Kinabalu","Kota Kinabalu","SBH"
"88000","Bangunan Dewan Masyarakat Kota Kinabalu","Kota Kinabalu","SBH"
"88000","Bangunan Feri Terminal","Kota Kinabalu","SBH"
"88000","Bangunan Hong Kong Bank","Kota Kinabalu","SBH"
"88000","Bangunan Indra Sabah","Kota Kinabalu","SBH"
"88000","Bangunan KK Plaza","Kota Kinabalu","SBH"
"88000","Bangunan Kinabalu Club","Kota Kinabalu","SBH"
"88000","Bangunan MPKK","Kota Kinabalu","SBH"
"88000","Bangunan Pasar Besar Kota Kinabalu","Kota Kinabalu","SBH"
"88000","Bangunan S.T.P.C","Kota Kinabalu","SBH"
"88000","Bangunan SAFMA","Kota Kinabalu","SBH"
"88000","Bangunan Wawasan Plaza","Kota Kinabalu","SBH"
"88000","Central Building","Kota Kinabalu","SBH"
"88000","Chinese Chamber Building","Kota Kinabalu","SBH"
"88000","Elas-Elas","Kota Kinabalu","SBH"
"88000","Hong Dua","Kota Kinabalu","SBH"
"88000","Hong Satu","Kota Kinabalu","SBH"
"88000","Hotel Le Meridien","Kota Kinabalu","SBH"
"88000","Hyatt Regency Hotel","Kota Kinabalu","SBH"
"88000","Jalan 12","Kota Kinabalu","SBH"
"88000","Jalan 13","Kota Kinabalu","SBH"
"88000","Jalan 14","Kota Kinabalu","SBH"
"88000","Jalan 15","Kota Kinabalu","SBH"
"88000","Jalan 16","Kota Kinabalu","SBH"
"88000","Jalan 2","Kota Kinabalu","SBH"
"88000","Jalan 20","Kota Kinabalu","SBH"
"88000","Jalan 21","Kota Kinabalu","SBH"
"88000","Jalan 22","Kota Kinabalu","SBH"
"88000","Jalan 23","Kota Kinabalu","SBH"
"88000","Jalan 24","Kota Kinabalu","SBH"
"88000","Jalan 3","Kota Kinabalu","SBH"
"88000","Jalan 4","Kota Kinabalu","SBH"
"88000","Jalan 5","Kota Kinabalu","SBH"
"88000","Jalan 6","Kota Kinabalu","SBH"
"88000","Jalan Albert Kwok","Kota Kinabalu","SBH"
"88000","Jalan Api-Api","Kota Kinabalu","SBH"
"88000","Jalan Bakau","Kota Kinabalu","SBH"
"88000","Jalan Balai Polis Lama","Kota Kinabalu","SBH"
"88000","Jalan Balai Polis","Kota Kinabalu","SBH"
"88000","Jalan Bandaran Berjaya","Kota Kinabalu","SBH"
"88000","Jalan Bandaran","Kota Kinabalu","SBH"
"88000","Jalan Berjaya (1 - 3)","Kota Kinabalu","SBH"
"88000","Jalan Centre","Kota Kinabalu","SBH"
"88000","Jalan Datuk Chong Thian Vun","Kota Kinabalu","SBH"
"88000","Jalan Deasoka","Kota Kinabalu","SBH"
"88000","Jalan Gaya","Kota Kinabalu","SBH"
"88000","Jalan Haji Samad","Kota Kinabalu","SBH"
"88000","Jalan Haji Saman","Kota Kinabalu","SBH"
"88000","Jalan Haji Yaakub","Kota Kinabalu","SBH"
"88000","Jalan Ibu Pejabat Berjaya","Kota Kinabalu","SBH"
"88000","Jalan Jati","Kota Kinabalu","SBH"
"88000","Jalan Kebijakan","Kota Kinabalu","SBH"
"88000","Jalan Labuk","Kota Kinabalu","SBH"
"88000","Jalan Ladang","Kota Kinabalu","SBH"
"88000","Jalan Lapan","Kota Kinabalu","SBH"
"88000","Jalan Lee Tet Phui","Kota Kinabalu","SBH"
"88000","Jalan Liman Diki","Kota Kinabalu","SBH"
"88000","Jalan Masjid Lama","Kota Kinabalu","SBH"
"88000","Jalan Merdeka","Kota Kinabalu","SBH"
"88000","Jalan Padang","Kota Kinabalu","SBH"
"88000","Jalan Padas","Kota Kinabalu","SBH"
"88000","Jalan Pantai","Kota Kinabalu","SBH"
"88000","Jalan Pasar Baru","Kota Kinabalu","SBH"
"88000","Jalan Pasar","Kota Kinabalu","SBH"
"88000","Jalan Pelabuhan","Kota Kinabalu","SBH"
"88000","Jalan Pengiran Fatimah","Kota Kinabalu","SBH"
"88000","Jalan Perpaduan","Kota Kinabalu","SBH"
"88000","Jalan Perpustakaan Negeri","Kota Kinabalu","SBH"
"88000","Jalan Salleh Sulong","Kota Kinabalu","SBH"
"88000","Jalan Satu","Kota Kinabalu","SBH"
"88000","Jalan Sebelas","Kota Kinabalu","SBH"
"88000","Jalan Segama","Kota Kinabalu","SBH"
"88000","Jalan Segumting","Kota Kinabalu","SBH"
