"POSTCODE","ADDRESS","CITY","STATE"
"93000","Jalan Badruddin","Kuching","SRW"
"93000","Jalan Barrack","Kuching","SRW"
"93000","Jalan Court House","Kuching","SRW"
"93000","Jalan Crookshank","Kuching","SRW"
"93000","Jalan Gambier","Kuching","SRW"
"93000","Jalan Golflink","Kuching","SRW"
"93000","Jalan Hokkien","Kuching","SRW"
"93000","Jalan Hospital Timur","Kuching","SRW"
"93000","Jalan Main Bazaar","Kuching","SRW"
"93000","Jalan Maxwell","Kuching","SRW"
"93000","Jalan Mcdougall","Kuching","SRW"
"93000","Jalan Mosque","Kuching","SRW"
"93000","Jalan Ong Kwan Hin","Kuching","SRW"
"93000","Jalan Reservoir","Kuching","SRW"
"93000","Jalan Rodway","Kuching","SRW"
"93000","Jalan Tun Abang Haji Openg","Kuching","SRW"
"93000","Jalan Wayang","Kuching","SRW"
"93000","Jalan Were","Kuching","SRW"
"93000","Ladang Ricketts","Kuching","SRW"
"93000","Lebuh Bishopgate","Kuching","SRW"
"93000","Lebuh Carpenter","Kuching","SRW"
"93000","Lebuh China","Kuching","SRW"
"93000","Lebuh Ewe Hai","Kuching","SRW"
"93000","Lebuh Gartak","Kuching","SRW"
"93000","Lebuh India","Kuching","SRW"
"93000","Lebuh Java","Kuching","SRW"
"93000","Lebuh Khoo Hun Yeang","Kuching","SRW"
"93000","Lebuh Market","Kuching","SRW"
"93000","Lebuh Power","Kuching","SRW"
"93000","Lebuh Ulu China","Kuching","SRW"
"93000","Lebuh Wayang 1","Kuching","SRW"
"93000","Lebuh Wayang 2","Kuching","SRW"
"93000","Lorong Ban Hock","Kuching","SRW"
"93000","Lorong Carmelite","Kuching","SRW"
"93000","Lorong Dock","Kuching","SRW"
"93000","Lorong Gertak","Kuching","SRW"
"93000","Lorong Kai Joo","Kuching","SRW"
"93000","Lorong Masjid","Kuching","SRW"
"93000","Lorong Mesjid India","Kuching","SRW"
"93000","Pengkalan Jeti","Kuching","SRW"
"93000","Persiaran Mill","Kuching","SRW"
"93000","Taman Budaya","Kuching","SRW"
"93000","Taman Oriental","Kuching","SRW"
"93000","Taman Ricketts","Kuching","SRW"
"93010","Bengoh","Kuching","SRW"
"93010","Kampung Anah Rais","Kuching","SRW"
"93010","Kampung Bako","Kuching","SRW"
"93010","Kampung Baru Samarahan","Kuching","SRW"
"93010","Kampung Beliong","Kuching","SRW"
"93010","Kampung Bengoh Padawan","Kuching","SRW"
"93010","Kampung Bratok","Kuching","SRW"
"93010","Kampung Bukit Panchor","Kuching","SRW"
"93010","Kampung Buntal","Kuching","SRW"
"93010","Kampung Bunuk","Kuching","SRW"
"93010","Kampung Geobilt","Kuching","SRW"
"93010","Kampung Karu","Kuching","SRW"
"93010","Kampung Lintang Baru","Kuching","SRW"
"93010","Kampung Mambong","Kuching","SRW"
"93010","Kampung Muhibah (Seberang Pending)","Kuching","SRW"
"93010","Kampung Pasir Pandak","Kuching","SRW"
"93010","Kampung Paya Mebi","Kuching","SRW"
"93010","Kampung Rambungan","Kuching","SRW"
"93010","Kampung Salak","Kuching","SRW"
"93010","Kampung Sejingat","Kuching","SRW"
"93010","Kampung Semadang","Kuching","SRW"
"93010","Kampung Semedang","Kuching","SRW"
"93010","Kampung Semilang","Kuching","SRW"
"93010","Kampung Simpok","Kuching","SRW"
"93010","Kampung Stoh","Kuching","SRW"
"93010","Kampung Tapah","Kuching","SRW"
"93010","Kampung Terambol","Kuching","SRW"
"93010","Kolong Lapan","Kuching","SRW"
"93010","Muara Tebas","Kuching","SRW"
"93010","Pantai Damai","Kuching","SRW"
"93010","Santubong","Kuching","SRW"
"93010","Semenggok (Batu 15)","Kuching","SRW"
"93010","Tiang Bekap","Kuching","SRW"
"93050","Bintawa Batu","Kuching","SRW"
"93050","Demak Laut","Kuching","SRW"
"93050","Demak","Kuching","SRW"
"93050","Gita Laut Tengah","Kuching","SRW"
"93050","Gita Laut","Kuching","SRW"
"93050","Jalan Astana Lot","Kuching","SRW"
"93050","Jalan Astana","Kuching","SRW"
