"POSTCODE","ADDRESS","CITY","STATE"
"40000","Bukit Raja Selatan","Shah Alam","SGR"
"40000","Jalan Akik 7/3","Shah Alam","SGR"
"40000","Jalan Akik Satu 7/3A","Shah Alam","SGR"
"40000","Jalan Akuamarin 7/21","Shah Alam","SGR"
"40000","Jalan Akuamarin Satu 7/21A","Shah Alam","SGR"
"40000","Jalan Aliran 8/23","Shah Alam","SGR"
"40000","Jalan Aliran Satu 8/23A","Shah Alam","SGR"
"40000","Jalan Aliran Tiga 8/23C","Shah Alam","SGR"
"40000","Jalan Aluminium (7/27A - 7/27B)","Shah Alam","SGR"
"40000","Jalan Aluminium 7/27","Shah Alam","SGR"
"40000","Jalan Alur 8/27","Shah Alam","SGR"
"40000","Jalan Ambar (7/16A - 7/16C)","Shah Alam","SGR"
"40000","Jalan Ambar 7/16","Shah Alam","SGR"
"40000","Jalan Angsa 6/5A","Shah Alam","SGR"
"40000","Jalan Ayam - Ayam 6/2E","Shah Alam","SGR"
"40000","Jalan Bacang 4/2C","Shah Alam","SGR"
"40000","Jalan Baiduri 7/1B","Shah Alam","SGR"
"40000","Jalan Baiduri Bulan 7/28","Shah Alam","SGR"
"40000","Jalan Balam 6/1B","Shah Alam","SGR"
"40000","Jalan Balau 3/8","Shah Alam","SGR"
"40000","Jalan Bangau 6/5B","Shah Alam","SGR"
"40000","Jalan Bangkung 4/2","Shah Alam","SGR"
"40000","Jalan Belatuk 6/4B","Shah Alam","SGR"
"40000","Jalan Belibis 6/5","Shah Alam","SGR"
"40000","Jalan Belimbing 4/7B","Shah Alam","SGR"
"40000","Jalan Beril 7/18","Shah Alam","SGR"
"40000","Jalan Beringin 3/13","Shah Alam","SGR"
"40000","Jalan Berkik 6/2D","Shah Alam","SGR"
"40000","Jalan Berlian 7/1A","Shah Alam","SGR"
"40000","Jalan Beting 8/13","Shah Alam","SGR"
"40000","Jalan Beting Dua 8/13B","Shah Alam","SGR"
"40000","Jalan Beting Satu 8/13A","Shah Alam","SGR"
"40000","Jalan Bidara 4/7F","Shah Alam","SGR"
"40000","Jalan Bukit 8/1K","Shah Alam","SGR"
"40000","Jalan Bunga Anggerik 2/4","Shah Alam","SGR"
"40000","Jalan Bunga Cempaka 2/11","Shah Alam","SGR"
"40000","Jalan Bunga Kantan 2/13","Shah Alam","SGR"
"40000","Jalan Bunga Kekwa 2/12","Shah Alam","SGR"
"40000","Jalan Bunga Kemboja 2/7","Shah Alam","SGR"
"40000","Jalan Bunga Kemunting 2/10","Shah Alam","SGR"
"40000","Jalan Bunga Kenanga 2/1","Shah Alam","SGR"
"40000","Jalan Bunga Kertas 2/15","Shah Alam","SGR"
"40000","Jalan Bunga Matahari 2/3","Shah Alam","SGR"
"40000","Jalan Bunga Mawar 2/5","Shah Alam","SGR"
"40000","Jalan Bunga Melati 2/2","Shah Alam","SGR"
"40000","Jalan Bunga Melur 2/18","Shah Alam","SGR"
"40000","Jalan Bunga Nagasari 2/9","Shah Alam","SGR"
"40000","Jalan Bunga Raya 2/8","Shah Alam","SGR"
"40000","Jalan Bunga Ros 2/17","Shah Alam","SGR"
"40000","Jalan Bunga Seroja 2/6","Shah Alam","SGR"
"40000","Jalan Bunga Tanjung 2/16","Shah Alam","SGR"
