"POSTCODE","ADDRESS","CITY","STATE"
"20000","Hotel Tanjung Vista","Kuala Terengganu","TRG"
"20000","Jalan Istana Kolam","Kuala Terengganu","TRG"
"20000","Jalan Kota","Kuala Terengganu","TRG"
"20000","Jalan Ladang Sekolah","Kuala Terengganu","TRG"
"20000","Jalan Nesan Empat","Kuala Terengganu","TRG"
"20000","Jalan Petani","Kuala Terengganu","TRG"
"20000","Jalan Sultan Sulaiman","Kuala Terengganu","TRG"
"20000","Jalan Sultan Zainal Abidin","Kuala Terengganu","TRG"
"20000","Kampung Aur","Kuala Terengganu","TRG"
"20000","Kampung Bangsal","Kuala Terengganu","TRG"
"20000","Kampung Daik","Kuala Terengganu","TRG"
"20000","Kampung Dalam Bata","Kuala Terengganu","TRG"
"20000","Kampung Dato Penglima Perang","Kuala Terengganu","TRG"
"20000","Kampung Kolam","Kuala Terengganu","TRG"
"20000","Kampung Ladang Cicar","Kuala Terengganu","TRG"
"20000","Kampung Ladang Mengabang","Kuala Terengganu","TRG"
"20000","Kampung Ladang Pasar","Kuala Terengganu","TRG"
"20000","Kampung Ladang Sekolah","Kuala Terengganu","TRG"
"20000","Kampung Ladang Titian","Kuala Terengganu","TRG"
"20000","Kampung Pantai Haji Kasim","Kuala Terengganu","TRG"
"20000","Kampung Petani","Kuala Terengganu","TRG"
"20000","Kampung Rakyat","Kuala Terengganu","TRG"
"20000","Kampung Surau Haji Mat Tokey","Kuala Terengganu","TRG"
"20000","Kampung Surau Telok","Kuala Terengganu","TRG"
"20000","Kampung Surau Tok She","Kuala Terengganu","TRG"
"20000","Kampung Tanjong (Km 1.5)","Kuala Terengganu","TRG"
"20000","Kampung Tanjong Paya","Kuala Terengganu","TRG"
"20000","Kampung Tanjong Surau Besar","Kuala Terengganu","TRG"
"20000","Kampung Tanjong Surau Pasir","Kuala Terengganu","TRG"
"20000","Kampung Tanjung Batu Satu","Kuala Terengganu","TRG"
"20000","Kampung Tanjung Mengabang","Kuala Terengganu","TRG"
"20000","Lorong Bemban","Kuala Terengganu","TRG"
"20000","Perbadanan Pembangunan Bandar","Kuala Terengganu","TRG"
"20000","Taman Petani","Kuala Terengganu","TRG"
"20050","Jalan Kelantan (Hingga Km 6)","Kuala Terengganu","TRG"
"20050","Jalan Pulau Musang","Kuala Terengganu","TRG"
"20050","Kampung Banggol Chempedak","Kuala Terengganu","TRG"
"20050","Kampung Banggol Katong","Kuala Terengganu","TRG"
"20050","Kampung Banggol Lalang","Kuala Terengganu","TRG"
"20050","Kampung Banggol Tok Ku","Kuala Terengganu","TRG"
"20050","Kampung Baru Serada","Kuala Terengganu","TRG"
"20050","Kampung Beladau Selat","Kuala Terengganu","TRG"
"20050","Kampung Belukar Sukai","Kuala Terengganu","TRG"
"20050","Kampung Bukit Kubang Jambu","Kuala Terengganu","TRG"
"20050","Kampung Durian Burong","Kuala Terengganu","TRG"
"20050","Kampung Dusun Melintang","Kuala Terengganu","TRG"
"20050","Kampung Gelugor Haji Tahir","Kuala Terengganu","TRG"
"20050","Kampung Gelugor Kedai","Kuala Terengganu","TRG"
"20050","Kampung Gelugor Raja","Kuala Terengganu","TRG"
"20050","Kampung Gong Pauh","Kuala Terengganu","TRG"
"20050","Kampung Gong Pipit","Kuala Terengganu","TRG"
"20050","Kampung Kedai Kepong","Kuala Terengganu","TRG"
"20050","Kampung Kepong","Kuala Terengganu","TRG"
"20050","Kampung Kuala Bekah Pasar","Kuala Terengganu","TRG"
"20050","Kampung Kuala Bekah","Kuala Terengganu","TRG"
"20050","Kampung Kubang Bakong","Kuala Terengganu","TRG"
"20050","Kampung Kubang Bujok","Kuala Terengganu","TRG"
"20050","Kampung Kubang Kura","Kuala Terengganu","TRG"
"20050","Kampung Kubang Parit","Kuala Terengganu","TRG"
"20050","Kampung Kubang Tangga","Kuala Terengganu","TRG"
"20050","Kampung Kubang Terap","Kuala Terengganu","TRG"
"20050","Kampung Melintang","Kuala Terengganu","TRG"
"20050","Kampung Merbau Patah","Kuala Terengganu","TRG"
"20050","Kampung Padang Sena","Kuala Terengganu","TRG"
"20050","Kampung Pak Pa","Kuala Terengganu","TRG"
